year,Name,points
2015,lewis hamilton,381.0
2015,nico rosberg,322.0
2015,sebastian vettel,278.0
2015,kimi räikkönen,150.0
2015,valtteri bottas,136.0
2015,felipe massa,121.0
2015,daniil kvyat,95.0
2015,daniel ricciardo,92.0
2015,sergio pérez,78.0
2015,nico hülkenberg,58.0
2015,romain grosjean,51.0
2015,max verstappen,49.0
2015,felipe nasr,27.0
2015,pastor maldonado,27.0
2015,carlos sainz,18.0
2015,jenson button,16.0
2015,fernando alonso,11.0
2015,marcus ericsson,9.0
2015,alexander rossi,0.0
2015,kevin magnussen,0.0
2015,roberto merhi,0.0
2015,will stevens,0.0
