constructorId,constructorRef,name,nationality
1,mclaren,mclaren,british
2,bmw_sauber,bmw sauber,german
3,williams,williams,british
4,renault,renault,french
5,toro_rosso,toro rosso,italian
6,ferrari,ferrari,italian
7,toyota,toyota,japanese
8,super_aguri,super aguri,japanese
9,red_bull,red bull,austrian
10,force_india,force india,indian
11,honda,honda,japanese
12,spyker,spyker,dutch
13,mf1,mf1,russian
14,spyker_mf1,spyker mf1,dutch
15,sauber,sauber,swiss
16,bar,bar,british
17,jordan,jordan,irish
18,minardi,minardi,italian
19,jaguar,jaguar,british
20,prost,prost,french
21,arrows,arrows,british
22,benetton,benetton,italian
23,brawn,brawn,british
24,stewart,stewart,british
25,tyrrell,tyrrell,british
26,lola,lola,british
27,ligier,ligier,french
28,forti,forti,italian
29,footwork,footwork,british
30,pacific,pacific,british
31,simtek,simtek,british
32,team_lotus,team lotus,british
33,larrousse,larrousse,french
34,brabham,brabham,british
35,dallara,dallara,italian
36,fondmetal,fondmetal,italian
37,march,march,british
38,moda,andrea moda,italian
39,ags,ags,french
40,lambo,lambo,italian
41,leyton,leyton house,british
42,coloni,coloni,italian
44,eurobrun,euro brun,italian
45,osella,osella,italian
46,onyx,onyx,british
47,life,life,italian
48,rial,rial,german
49,zakspeed,zakspeed,german
50,ram,ram,british
51,alfa,alfa romeo,swiss
52,spirit,spirit,british
53,toleman,toleman,british
54,ats,ats,italian
55,theodore,theodore,hong kong
56,fittipaldi,fittipaldi,brazilian
57,ensign,ensign,british
58,shadow,shadow,british
59,wolf,wolf,canadian
60,merzario,merzario,italian
61,kauhsen,kauhsen,german
62,rebaque,rebaque,mexican
63,surtees,surtees,british
64,hesketh,hesketh,british
65,martini,martini,french
66,brm,brm,british
67,penske,penske,american
68,lec,lec,british
69,mcguire,mcguire,australian
70,boro,boro,dutch
71,apollon,apollon,swiss
72,kojima,kojima,japanese
73,parnelli,parnelli,american
74,maki,maki,japanese
75,hill,embassy hill,british
76,lyncar,lyncar,british
77,trojan,trojan,british
78,amon,amon,new zealander
79,token,token,british
80,iso_marlboro,iso marlboro,british
81,tecno,tecno,italian
82,matra,matra,french
83,politoys,politoys,british
84,connew,connew,british
85,bellasi,bellasi,swiss
86,tomaso,de tomaso,italian
87,cooper,cooper,british
88,eagle,eagle,american
89,lds,lds,south african
90,protos,protos,british
91,shannon,shannon,british
92,scirocco,scirocco,british
93,re,re,rhodesian
94,brp,brp,british
95,porsche,porsche,german
96,derrington,derrington,british
97,gilby,gilby,british
98,stebro,stebro,canadian
99,emeryson,emeryson,british
100,enb,enb,belgian
101,jbw,jbw,british
102,ferguson,ferguson,british
103,mbm,mbm,swiss
104,behra-porsche,behra-porsche,italian
105,maserati,maserati,italian
106,scarab,scarab,american
107,watson,watson,american
108,epperly,epperly,american
109,phillips,phillips,american
110,lesovsky,lesovsky,american
111,trevis,trevis,american
112,meskowski,meskowski,american
113,kurtis_kraft,kurtis kraft,american
114,kuzma,kuzma,american
115,vhristensen,christensen,american
116,ewing,ewing,american
117,aston_martin,aston martin,british
118,vanwall,vanwall,british
119,moore,moore,american
120,dunn,dunn,american
121,elder,elder,american
122,sutton,sutton,american
123,fry,fry,british
124,tec-mec,tec-mec,italian
125,connaught,connaught,british
126,alta,alta,british
127,osca,osca,italian
128,gordini,gordini,french
129,stevens,stevens,american
130,bugatti,bugatti,french
131,mercedes,mercedes,german
132,lancia,lancia,italian
133,hwm,hwm,british
134,schroeder,schroeder,american
135,pawl,pawl,american
136,pankratz,pankratz,american
137,arzani-volpini,arzani-volpini,italian
138,nichels,nichels,american
139,bromme,bromme,american
140,klenk,klenk,german
141,simca,simca,french
142,turner,turner,american
143,del_roy,del roy,american
144,veritas,veritas,german
145,bmw,bmw,german
146,emw,emw,east german
147,afm,afm,german
148,frazer_nash,frazer nash,british
149,sherman,sherman,american
150,deidt,deidt,american
151,era,era,british
152,butterworth,aston butterworth,british
153,cisitalia,cisitalia,italian
154,lago,talbot-lago,french
155,hall,hall,american
156,marchese,marchese,american
157,langley,langley,american
158,rae,rae,american
159,olson,olson,american
160,wetteroth,wetteroth,american
161,adams,adams,american
162,snowberger,snowberger,american
163,milano,milano,italian
164,hrt,hrt,spanish
167,cooper-maserati,cooper-maserati,british
166,virgin,virgin,british
168,cooper-osca,cooper-osca,british
169,cooper-borgward,cooper-borgward,british
170,cooper-climax,cooper-climax,british
171,cooper-castellotti,cooper-castellotti,british
172,lotus-climax,lotus-climax,british
173,lotus-maserati,lotus-maserati,british
174,de_tomaso-osca,de tomaso-osca,italian
175,de_tomaso-alfa_romeo,de tomaso-alfa romeo,italian
176,lotus-brm,lotus-brm,british
177,lotus-borgward,lotus-borgward,british
178,cooper-alfa_romeo,cooper-alfa romeo,british
179,de_tomaso-ferrari,de tomaso-ferrari,italian
180,lotus-ford,lotus-ford,british
181,brabham-brm,brabham-brm,british
182,brabham-ford,brabham-ford,british
183,brabham-climax,brabham-climax,british
184,lds-climax,lds-climax,south african
185,lds-alfa_romeo,lds-alfa romeo,south african
186,cooper-ford,cooper-ford,british
187,mclaren-ford,mclaren-ford,british
188,mclaren-seren,mclaren-serenissima,british
189,eagle-climax,eagle-climax,american
190,eagle-weslake,eagle-weslake,american
191,brabham-repco,brabham-repco,british
192,cooper-ferrari,cooper-ferrari,british
193,cooper-ats,cooper-ats,british
194,mclaren-brm,mclaren-brm,british
195,cooper-brm,cooper-brm,british
196,matra-ford,matra-ford,french
197,brm-ford,brm-ford,british
198,mclaren-alfa_romeo,mclaren-alfa romeo,british
199,march-alfa_romeo,march-alfa romeo,british
200,march-ford,march-ford,british
201,lotus-pw,lotus-pratt &amp; whitney,british
202,shadow-ford,shadow-ford,british
203,shadow-matra,shadow-matra,british
204,brabham-alfa_romeo,brabham-alfa romeo,british
205,lotus_racing,lotus,malaysian
206,marussia,marussia,russian
207,caterham,caterham,malaysian
208,lotus_f1,lotus f1,british
209,manor,manor marussia,british
210,haas,haas f1 team,american
211,racing_point,racing point,british
213,alphatauri,alphatauri,italian
214,alpine,alpine f1 team,french
215,rb,rb f1 team,italian
